source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Net-Zero Technology - Road Vehicles;+;The increased use of renewable energy can lead to a reduction in greenhouse gas emissions, which can positively impact the development of net-zero technology in road vehicles. This is because renewable energy can provide a cleaner source of power for electric vehicles.
Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40;Hydrogen Distribution;+;The production of renewable hydrogen can lead to an increase in the availability of hydrogen for distribution, which can positively impact the development of hydrogen distribution infrastructure. This is because a reliable supply of hydrogen is necessary for the widespread adoption of hydrogen fuel cell vehicles.
Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;Urban Mobility;+;The improvement of energy efficiency in buildings can lead to a reduction in energy consumption, which can positively impact urban mobility by reducing the need for energy-intensive transportation modes. This is because energy-efficient buildings can reduce the demand for energy, making it easier to power electric vehicles and other low-carbon transportation modes.
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Other Low-Carbon Fuels;+;The increased use of renewable energy can lead to a reduction in greenhouse gas emissions, which can positively impact the development of other low-carbon fuels. This is because renewable energy can provide a cleaner source of power for the production of low-carbon fuels.
Renewable Energy - Solar;TA2.5,TA2.6,TA2.7,TA2.9;Transport Logistics;-;The increased use of solar energy can lead to an increase in the demand for land, which can negatively impact transport logistics by reducing the availability of land for transportation infrastructure. This is because large solar farms can occupy significant amounts of land, potentially conflicting with transportation corridors.
Energy Efficiency;TA2.17,TA2.22,TA2.23;Rail;+;The improvement of energy efficiency can lead to a reduction in energy consumption, which can positively impact the rail sector by reducing the need for energy-intensive rail transportation modes. This is because energy-efficient rail systems can reduce the demand for energy, making it easier to power electric trains and other low-carbon rail transportation modes.
Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40;Biofuels;-;The production of renewable hydrogen can lead to an increase in the competition for biomass resources, which can negatively impact the production of biofuels. This is because biomass is a key feedstock for both hydrogen production and biofuel production, and increased demand for biomass can drive up costs and reduce availability.
Social Security - Energy;TA2.2,TA2.8;Urban Mobility;+;The improvement of social security in the energy sector can lead to an increase in the availability of energy-related services, which can positively impact urban mobility by providing low-income households with access to affordable energy for transportation. This is because energy poverty can limit access to transportation modes, and social security programs can help alleviate this issue.
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Food quality;+;The increased use of renewable energy can lead to a reduction in greenhouse gas emissions, which can positively impact food quality by reducing the effects of climate change on agriculture and food production.
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Food affordability;-;The transition to renewable energy may lead to increased energy costs, which could negatively impact food affordability, particularly for low-income households.
Renewable Energy - Heating & Cooling;TA2.14,TA2.16,TA2.4;Food quality;+;The use of renewable energy for heating and cooling can reduce air pollution, which can positively impact food quality by reducing the negative effects of air pollution on human health and the environment.
Energy Efficiency;TA2.17,TA2.22,TA2.23;Food affordability;+;Improving energy efficiency can lead to cost savings, which can positively impact food affordability by reducing the financial burden on households and businesses.
Energy Efficiency - Buildings;TA2.18,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36;Food quality;+;The renovation of buildings to improve energy efficiency can lead to improved indoor air quality, which can positively impact food quality by reducing the negative effects of indoor air pollution on human health.
Social Security - Energy;TA2.2,TA2.8;Food affordability;+;The implementation of social security measures related to energy can positively impact food affordability by providing support to vulnerable households and reducing energy poverty.
Renewable Energy - Hydrogen Production;TA2.1,TA2.40;Food quality;-;The production of hydrogen from renewable energy sources may require large amounts of water, which could negatively impact food quality by affecting water availability for agriculture and food production.
Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;Food quality;+;The development of offshore renewable energy can lead to the creation of artificial reefs, which can positively impact food quality by increasing biodiversity and improving fisheries management.
Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;Food quality;+;The use of solar energy can reduce greenhouse gas emissions, which can positively impact food quality by reducing the effects of climate change on agriculture and food production.
Energy Efficiency;TA2.17,TA2.22,TA2.23;Competitive Agriculture;+;Improving energy efficiency can lead to cost savings, which can positively impact competitive agriculture by reducing the financial burden on farmers and agricultural businesses.
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Competitive Agriculture;+;The increased use of renewable energy can lead to a reduction in greenhouse gas emissions, which can positively impact competitive agriculture by reducing the effects of climate change on agriculture and food production.
Renewable Energy - Heating & Cooling;TA2.14,TA2.16,TA2.4;Pesticides Reduction;+;The use of renewable energy for heating and cooling can reduce the need for pesticides, which can positively impact pesticides reduction by reducing the negative effects of pesticides on human health and the environment.
Energy Efficiency - Buildings;TA2.18,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36;Food quality - Healthy Food;+;The renovation of buildings to improve energy efficiency can lead to improved indoor air quality, which can positively impact food quality - healthy food by reducing the negative effects of indoor air pollution on human health.
Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Food quality - Healthy Food;+;Improving air quality can have a positive impact on food quality, as air pollution can affect crop yields and food safety. Reducing air pollution can lead to healthier food options and improved nutrition.
Improve Water Quality;TA5.8,TA7.1,TA7.14,TA7.15,TA7.2;Food quality;+;Ensuring good water quality is essential for food production, as it affects the safety and quality of the food. Improving water quality can lead to better food quality and reduced risks of water-borne diseases.
Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10;Competitive Agriculture;+;Healthy soils are crucial for sustainable agriculture, and improving soil health can lead to increased crop yields and better nutrient management. This can contribute to a more competitive agriculture sector.
Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10;Food quality - Healthy Food;+;Soil health is closely linked to food quality, as soils with poor health can lead to reduced crop yields and lower nutritional value. Improving soil health can result in healthier and more nutritious food options.
Social Security - Sanitation;TA7.1,TA7.3;Food quality - Animal Welfare;+;Improving sanitation and hygiene practices can have a positive impact on animal welfare, as it reduces the risk of disease transmission and promotes better living conditions for animals.
Pesticides Reduction;TA5.2,TA5.4,TA5.5,TA6.9,TA7.21;Food quality - Healthy Food;+;Reducing pesticide use can lead to healthier food options, as pesticides can contaminate food and pose health risks to consumers. This can contribute to improved food quality and safety.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21;Improve Soils Health;+;Competitive agriculture can contribute to improved soil health, as sustainable agricultural practices can lead to better soil management and reduced erosion. This can result in improved soil fertility and structure.
Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Improve Water Quality;+;Ensuring access to affordable food can be linked to water quality, as water scarcity can affect food production and prices. Improving water quality can lead to more stable and affordable food systems.
Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29;Improve Air Quality;+;Healthy food options can be affected by air quality, as air pollution can impact crop yields and food safety. Improving air quality can lead to healthier food choices and reduced risks of air pollution-related health issues.
Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Improving air quality can have a positive impact on terrestrial ecosystems restoration in agricultural ecosystems by reducing pollution and promoting healthier ecosystems. This can lead to increased biodiversity and improved soil health.
Improve Water Quality;TA5.8,TA7.1, TA7.7;Terrestrial Ecosystems Restoration - Rivers;+;Improving water quality can have a positive impact on terrestrial ecosystems restoration in rivers by reducing pollution and promoting healthier aquatic ecosystems. This can lead to increased biodiversity and improved ecosystem services.
Improve Soils Health;TA5.3, TA6.12, TA6.15, TA7.10, TA7.12, TA7.19, TA7.20;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Improving soil health can have a positive impact on terrestrial ecosystems restoration in agricultural ecosystems by promoting sustainable agriculture practices and reducing soil degradation. This can lead to increased biodiversity and improved ecosystem services.
Improve Soils Health;TA5.3, TA6.12, TA6.15, TA7.10, TA7.12, TA7.19, TA7.20;Biodiversity Protection & Conservation;+;Improving soil health can have a positive impact on biodiversity protection and conservation by promoting sustainable agriculture practices and reducing soil degradation. This can lead to increased biodiversity and improved ecosystem services.
Noise Reduction;TA7.17;Biodiversity Protection & Conservation - Urban Nature;+;Reducing noise pollution can have a positive impact on biodiversity protection and conservation in urban nature by promoting healthier ecosystems and reducing disturbance to wildlife. This can lead to increased biodiversity and improved ecosystem services.
Social Security - Sanitation;TA7.1, TA7.3;Biodiversity Protection & Conservation - Fisheries;+;Improving sanitation can have a positive impact on biodiversity protection and conservation in fisheries by reducing pollution and promoting healthier aquatic ecosystems. This can lead to increased biodiversity and improved ecosystem services.
Improve Water Quality;TA5.8, TA7.1, TA7.7;Marine Ecosystem Restoration;+;Improving water quality can have a positive impact on marine ecosystem restoration by reducing pollution and promoting healthier aquatic ecosystems. This can lead to increased biodiversity and improved ecosystem services.
Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Biodiversity Protection & Conservation;+;Improving air quality can have a positive impact on biodiversity protection and conservation by reducing pollution and promoting healthier ecosystems. This can lead to increased biodiversity and improved ecosystem services.
Improve Soils Health;TA5.3, TA6.12, TA6.15, TA7.10, TA7.12, TA7.19, TA7.20;Terrestrial Ecosystems Restoration - Forests;+;Improving soil health can have a positive impact on terrestrial ecosystems restoration in forests by promoting sustainable forest management practices and reducing soil degradation. This can lead to increased biodiversity and improved ecosystem services.
Improve Water Quality;TA5.8, TA7.1, TA7.7;Biodiversity Protection & Conservation - Monitoring;+;Improving water quality can have a positive impact on biodiversity protection and conservation monitoring by providing healthier ecosystems and promoting more accurate monitoring. This can lead to increased biodiversity and improved ecosystem services.
