;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
339;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Social Security - Sanitation;2;Reducing greenhouse gas emissions can aid in improving social security and sanitation by mitigating the impacts of climate change on human health and promoting more sustainable and resilient communities.; 
340;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Social Security - Sanitation;1;The promotion of electric vehicles can create conditions that further improve social security and sanitation by reducing air pollution and promoting cleaner environments, thus enabling better public health.; 
341;Biofuels;TA4.1,TA4.18,TA4.7;Social Security - Sanitation;-1;The production and use of biofuels can constrain social security and sanitation efforts if they lead to increased costs for food and energy, potentially negatively impacting vulnerable populations and their access to basic services.; 
342;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Social Security - Sanitation;1;The use of other low-carbon fuels can create conditions that further improve social security and sanitation by offering sustainable and reliable energy sources, thus enabling better living conditions.; 
343;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Social Security - Sanitation;2;The development of hydrogen infrastructure can aid in improving social security and sanitation by providing clean energy for essential services and promoting more sustainable communities, which reinforces social security and sanitation efforts.; 
344;Urban Mobility;TA4.54;Social Security - Sanitation;1;Sustainable urban mobility practices can create conditions that further improve social security and sanitation by promoting cleaner environments, reducing pollution, and enhancing public spaces, thus enabling better living conditions.; 
345;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Social Security - Sanitation;1;Efficient and sustainable transport logistics can create conditions that further improve social security and sanitation by minimizing waste, reducing pollution, and promoting more sustainable practices, thus enabling better public health.; 
346;Rail;TA4.37,TA4.38,TA4.40;Social Security - Sanitation;2;The expansion of rail transport can aid in improving social security and sanitation by offering a reliable, efficient, and less polluting mode of transportation, which reinforces social security and sanitation efforts.; 
347;Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Social Security - Sanitation;3;The adoption of zero-emission technologies in maritime transport can directly lead to improved social security and sanitation by reducing pollution, promoting sustainable communities, and enhancing public health, which is indivisible from achieving better social security and sanitation.; 
348;Net-Zero Technology - Aviation;TA4.32,TA4.46;Social Security - Sanitation;3;The development of zero-emission aviation technologies can directly lead to improved social security and sanitation by reducing emissions, promoting cleaner environments, and enhancing public health, which is indivisible from achieving better social security and sanitation.;
349;Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Food quality;2;The increased use of renewable energy can lead to a reduction in greenhouse gas emissions, which in turn can improve air quality and have a positive impact on food quality. This is because air pollution from fossil fuels can damage crops and reduce food yields.;
350;Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40,TA4.1,TA4.20,TA4.21;Food affordability;1;The production of renewable hydrogen can lead to the development of new technologies and industries, creating jobs and stimulating local economies, which can have a positive impact on food affordability. This is because local economic growth can lead to increased access to affordable and nutritious food.;
351;Energy Efficiency;TA2.17,TA2.22,TA2.23;Competitive Agriculture;-1;Improving energy efficiency can lead to reduced energy consumption, which can constrain agricultural production and competitiveness. This is because energy-intensive farming practices may need to be adapted or reduced to meet energy efficiency targets.;
352;Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;Food quality - Healthy Food;2;Improving energy efficiency in buildings can lead to reduced energy consumption and greenhouse gas emissions, which can have a positive impact on indoor air quality and food storage, ultimately contributing to healthier food. This is because energy-efficient buildings can provide a healthier environment for food preparation and storage.;
353;Social Security - Energy;TA2.2,TA2.8;Food affordability;1;Ensuring access to affordable energy can have a positive impact on food affordability, as energy is often a significant cost factor in food production and processing. This is because affordable energy can reduce the cost of food production and make it more accessible to low-income households.;
354;Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;Pesticides Reduction;2;The increased use of solar energy can lead to reduced dependence on fossil fuels and lower greenhouse gas emissions, which can have a positive impact on soil and water quality, reducing the need for pesticides. This is because solar energy can power sustainable agriculture practices that promote soil health and biodiversity.;
355;Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;Competitive Agriculture;-1;The development of offshore renewable energy can lead to conflicts with fishing and aquaculture industries, potentially constraining agricultural production and competitiveness. This is because offshore wind farms and other renewable energy infrastructure can occupy space that was previously used for fishing and aquaculture.;
356;Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62;Improve Air Quality;2;Reinforcing;Biodiversity protection and conservation can aid in improving air quality by preserving natural habitats that absorb pollutants and produce oxygen, thus reinforcing efforts to enhance air quality.
357;Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62;Improve Water Quality;2;Reinforcing;Conservation of biodiversity can contribute to improved water quality by protecting aquatic ecosystems and maintaining natural water cycles, which in turn reinforces water quality improvement efforts.
358;Terrestrial Ecosystems Restoration - Forests;TA6.11,TA6.4,TA6.50,TA6.51,TA6.52,TA6.59;Forest Bioeconomy;3;Indivisible;The restoration of forests is inextricably linked to the development of a sustainable forest bioeconomy, as healthy forests provide the necessary resources for this sector, making their restoration indispensable for the bioeconomy's success.
359;Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;Improve Air Quality;1;Enabling;Urban nature conservation can enable improved air quality by creating green spaces in urban areas that help absorb pollutants, thus creating conditions that further air quality improvement.
360;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Improve Soils Health;2;Reinforcing;Restoration of agricultural ecosystems can aid in improving soil health by promoting sustainable agricultural practices, reducing soil erosion, and enhancing nutrient cycling, which reinforces soil health improvement efforts.
361;Biodiversity Protection & Conservation - Fisheries;TA5.6,TA6.18,TA6.27,TA6.28;Improve Water Quality;1;Enabling;Sustainable fishing and aquaculture practices can enable improved water quality by reducing pollution from these activities, thus creating conditions that further water quality improvement.
362;Marine Ecosystem Restoration;TA6.2,TA6.33,TA6.44,TA6.45;Improve Water Quality;2;Reinforcing;Restoration of marine ecosystems can aid in improving water quality by preserving natural habitats that filter pollutants and maintain ocean health, thus reinforcing efforts to enhance water quality.
363;Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62;Noise Reduction;1;Enabling;Conservation of biodiversity can enable noise reduction by preserving natural habitats and ecosystems that absorb sound, thus creating conditions that further noise reduction efforts.
364;Terrestrial Ecosystems Restoration;TA6.21,TA6.32,TA6.34,TA6.35,TA6.36,TA6.38,TA6.63,TA6.7;Improve Soils Health;2;Reinforcing;Terrestrial ecosystem restoration can aid in improving soil health by promoting sustainable land use practices, reducing soil erosion, and enhancing nutrient cycling, which reinforces soil health improvement efforts.
365;Biodiversity Protection & Conservation - Monitoring;TA6.37,TA6.46;Improve Air Quality;1;Enabling;Monitoring biodiversity can enable improved air quality by providing data necessary for conservation efforts that preserve natural habitats and ecosystems, thus creating conditions that further air quality improvement.
366;Terrestrial Ecosystems Restoration - Rivers;TA6.13,TA6.42;Improve Water Quality;2;Reinforcing;Restoration of river ecosystems can aid in improving water quality by preserving natural habitats that filter pollutants and maintain river health, thus reinforcing efforts to enhance water quality.
367;Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62;Social Security - Sanitation;1;Enabling;Conservation of biodiversity can enable improved sanitation by preserving natural ecosystems that help maintain water quality and reduce the spread of diseases, thus creating conditions that further sanitation improvement efforts.
368;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food affordability;-1;The reduction of GHG emissions may lead to increased costs for farmers and food producers, which could impact food prices and, in turn, food security.;
369;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Pesticides Reduction;-1;The implementation of GHG reduction targets may require changes in agricultural practices, potentially limiting the use of certain pesticides and affecting their reduction targets.;
370;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Food quality - Healthy Food;1;The promotion of electric vehicles and sustainable transportation can contribute to a reduction in air pollution, which can have positive effects on public health and, in turn, influence the demand for healthy food options.;
371;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Transport Logistics;2;The development of net-zero technology for road vehicles can reinforce the efficiency and sustainability of transport logistics, enabling the creation of cleaner and more environmentally friendly transportation systems.;
372;Biofuels;TA4.1,TA4.18,TA4.7;Competitive Agriculture;1;The production and use of biofuels can create new opportunities for farmers and agricultural businesses, contributing to the competitiveness of the agricultural sector.;
373;Biofuels;TA4.1,TA4.18,TA4.7;Food quality;1;The use of biofuels can reduce greenhouse gas emissions from transportation, which can have positive effects on the environment and, in turn, influence the quality of food production.;
374;Other Low-Carbon Fuels;TA4.4,TA4.5;Pesticides Reduction;-1;The production and use of other low-carbon fuels may require the use of land and resources that could otherwise be used for sustainable agriculture and pesticide reduction.;
375;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Net-Zero Technology - Maritime Transport;2;The development of hydrogen distribution infrastructure can reinforce the use of hydrogen as a low-carbon fuel for maritime transport, contributing to the reduction of greenhouse gas emissions from the shipping sector.;
376;Urban Mobility;TA4.54;Food affordability;-1;The promotion of active and sustainable urban mobility can reduce the demand for private vehicles and, in turn, affect the affordability of food, particularly for low-income households that rely on private transportation for grocery shopping.;
377;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Food quality - Animal Welfare;1;The improvement of transport logistics can contribute to the reduction of animal welfare issues in the food supply chain, such as reducing transport times and improving handling conditions for animals.;
378;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Competitive Agriculture;2;The development of efficient and sustainable transport logistics can reinforce the competitiveness of the agricultural sector, enabling farmers and producers to get their products to market more quickly and efficiently.;
379;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Waste Reduction - Municipal Waste;2;The reduction of GHG emissions can aid in the reduction of waste by promoting sustainable practices and reducing the need for landfills, which in turn can help achieve waste reduction targets.;
380;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Circularity/Recycling - Municipal Waste;2;GHG reduction efforts can reinforce circular economy practices in municipal waste management, such as recycling and composting, leading to a more sustainable waste management system.;
381;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Waste Reduction - Plastic & Packaging;1;The promotion of net-zero technology in road vehicles can enable the reduction of plastic waste by encouraging the use of alternative materials and promoting sustainable transportation practices.;
382;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Circularity/Recycling - Plastic & Packaging;1;The development of net-zero road vehicles can create conditions for a more circular economy in plastic and packaging by reducing the demand for single-use plastics and promoting the use of recycled materials.;
383;Biofuels;TA4.1,TA4.18,TA4.7;Critical Raw Materials - Extraction & Import;2;The production and use of biofuels can aid in the reduction of dependence on critical raw materials by promoting the use of renewable energy sources and reducing the need for fossil fuels.;
384;Biofuels;TA4.1,TA4.18,TA4.7;Net-Zero Technology - Manufacturing;-1;The increased demand for biofuels can constrain the development of net-zero technologies in manufacturing by competing for resources and investment, potentially limiting the growth of more sustainable industries.;
385;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Waste Reduction - Food Waste;1;The use of other low-carbon fuels can enable the reduction of food waste by promoting more efficient food production and distribution systems, as well as encouraging the use of food waste as a feedstock for energy production.;
386;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;2;The development of hydrogen distribution infrastructure can reinforce the recycling of critical raw materials in batteries by promoting the use of sustainable energy storage solutions and reducing electronic waste.;
387;Urban Mobility;TA4.54;Waste Reduction - Municipal Waste;1;The promotion of urban mobility can create conditions for reducing municipal waste by encouraging the use of shared transportation services, reducing the number of private vehicles on the road, and promoting more efficient waste collection systems.;
388;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.40,TA4.43,TA4.50,TA4.51,TA4.56;Circularity/Recycling - Municipal Waste;2;The optimization of transport logistics can aid in the reduction of municipal waste by promoting more efficient packaging, reducing transportation emissions, and encouraging the use of recycled materials in packaging.;
389;Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Food quality;2;Reinforcing;The protection of biodiversity can aid in the preservation of ecosystems that provide food and support the development of sustainable agriculture, which in turn can improve food quality by promoting more diverse and resilient food systems.
390;Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Food affordability;1;Enabling;Conservation efforts can help maintain ecosystem services, such as pollination and pest control, which are essential for food production and can contribute to more affordable food options by reducing the need for external inputs like pesticides and fertilizers.
391;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Food quality;2;Reinforcing;Restoring agricultural ecosystems can enhance soil health, biodiversity, and ecosystem services, leading to improved crop yields and quality, which in turn can contribute to better food quality.
392;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Food affordability;1;Enabling;Sustainable agricultural practices, facilitated by ecosystem restoration, can increase efficiency and reduce costs, making food more affordable while also promoting environmental sustainability.
393;Biodiversity Protection & Conservation - Fisheries;TA5.6,TA6.18,TA6.27,TA6.28;Food quality - Healthy Food;2;Reinforcing;Sustainable fishing and aquaculture practices, supported by biodiversity conservation, can provide healthier food options by reducing the environmental impact of fishing and promoting more resilient and diverse marine ecosystems.
394;Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;Food affordability;1;Enabling;Urban nature conservation can support local food systems by preserving green spaces for community gardens and urban agriculture, enhancing food security and affordability in urban areas.
395;Marine Ecosystem Restoration;TA6.2,TA6.33,TA6.44,TA6.45;Food quality - Animal Welfare;1;Enabling;Restoring marine ecosystems can help maintain the health and biodiversity of marine species, which can improve the welfare of animals in these ecosystems and contribute to more sustainable and humane food production practices.
396;Pesticides Reduction;TA5.2,TA5.4,TA5.5,TA6.26,TA6.9,TA7.21;Food quality;2;Reinforcing;Reducing pesticide use can decrease the amount of harmful chemicals in food, improving its quality and safety for consumption, while also protecting biodiversity and ecosystem health.
397;Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Food affordability;1;Enabling;Promoting competitive agriculture can lead to more efficient and sustainable farming practices, potentially reducing costs and increasing food availability, which can make food more affordable for consumers.
398;Social Security - Workers Protection;TA4.53,TA5.16,TA5.17,TA5.18,TA5.24;Food quality - Healthy Food;1;Enabling;Protecting workers' rights and promoting fair labor standards in the food industry can contribute to better working conditions, which in turn can lead to improved food quality and safety by reducing the risk of contamination and increasing the motivation of workers to follow best practices.
399;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Biodiversity Protection & Conservation;2;Reinforcing;Improving air quality can aid in the conservation of biodiversity by reducing pollution that harms ecosystems, and this synergy can reinforce efforts to protect and restore natural habitats.
400;Improve Water Quality;TA7.1,TA7.7;Terrestrial Ecosystems Restoration - Rivers;2;Reinforcing;Restoring water quality can reinforce terrestrial ecosystem restoration in rivers by ensuring healthier aquatic life and more balanced ecosystems, which in turn supports biodiversity.
401;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;3;Indivisible;Improving soil health is inextricably linked to the restoration of agricultural ecosystems, as healthy soils are fundamental for sustainable agriculture and ecosystem services.
402;Noise Reduction;TA7.17;Biodiversity Protection & Conservation - Urban Nature;1;Enabling;Reducing noise pollution can enable the protection and conservation of urban biodiversity by creating more habitable environments for wildlife in urban areas.
403;Social Security - Sanitation;TA7.1,TA7.3;Biodiversity Protection & Conservation;1;Enabling;Improving sanitation can enable biodiversity conservation by reducing the impact of human waste on ecosystems and promoting more sustainable human-nature interactions.
404;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Marine Ecosystem Restoration;1;Enabling;Healthy soils can help reduce nutrient runoff into marine ecosystems, enabling their restoration by mitigating one of the factors that contribute to their degradation.
405;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Terrestrial Ecosystems Restoration - Forests;2;Reinforcing;Better air quality can reinforce forest ecosystem restoration by protecting trees and other vegetation from air pollution, thus supporting the health and resilience of forests.
406;Improve Water Quality;TA7.1,TA7.7;Biodiversity Protection & Conservation - Fisheries;2;Reinforcing;Cleaner water can reinforce the conservation of fish populations and their habitats, which is crucial for maintaining healthy fisheries and the biodiversity they support.
407;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Forest Bioeconomy;1;Enabling;Healthy soils are essential for sustainable forestry practices, enabling the development of a forest bioeconomy that balances economic activity with environmental protection.
408;Noise Reduction;TA7.17;Terrestrial Ecosystems Restoration;1;Enabling;Reducing noise pollution can contribute to the restoration of terrestrial ecosystems by minimizing disturbance to wildlife, thus enabling more effective conservation and restoration efforts.
409;Social Security - Sanitation;TA7.1,TA7.3;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Enabling;Proper sanitation can reduce the environmental impact of agricultural activities on ecosystems, enabling more sustainable agricultural practices that support ecosystem restoration.
410;Improve Water Quality;TA5.8,TA7.1,TA7.14,TA7.15,TA7.2,TA7.23,TA7.24,TA7.4,TA7.7;Food quality;2;The improvement of water quality can reinforce the achievement of food quality targets by reducing the risk of water-borne diseases and improving the overall health of the food system.;
411;Improve Water Quality;TA5.8,TA7.1,TA7.14,TA7.15,TA7.2,TA7.23,TA7.24,TA7.4,TA7.7;Food affordability;-1;The improvement of water quality may constrain the options for food affordability by increasing the costs of water treatment and management, which could be passed on to consumers.;
412;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Competitive Agriculture;2;The improvement of soils health can reinforce the achievement of competitive agriculture targets by increasing crop yields, improving soil fertility, and reducing the need for synthetic fertilizers.;
413;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Pesticides Reduction;3;The improvement of soils health is indivisible from the reduction of pesticides, as healthy soils can support more diverse and resilient ecosystems, reducing the need for chemical pesticides.;
414;Noise Reduction;TA7.17;Food quality - Animal Welfare;1;The reduction of noise pollution can enable the achievement of food quality and animal welfare targets by improving the living conditions of farm animals and reducing stress, which can lead to better animal health and welfare.;
415;Social Security - Sanitation;TA7.1,TA7.3;Food affordability;1;The improvement of sanitation can enable the achievement of food affordability targets by reducing the risk of food-borne diseases and improving the overall health of the population, which can lead to reduced healthcare costs and improved economic productivity.;
416;Social Security - Sanitation;TA7.1,TA7.3;Food quality;2;The improvement of sanitation can reinforce the achievement of food quality targets by reducing the risk of food-borne diseases and improving the overall health of the food system.;
417;GHG Reduction;TA1.10,TA1.11,TA1.13,TA1.14,TA1.16,TA1.3,TA1.6,TA1.7,TA1.8,TA1.9,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17,TA4.3,TA4.37,TA4.43,TA4.51,TA4.56;Competitive Agriculture;-2;The reduction of GHG emissions may counteract the achievement of competitive agriculture targets by increasing the costs of production, particularly for farmers who rely heavily on synthetic fertilizers and pesticides, which can lead to reduced crop yields and lower profitability.;
418;GHG Reduction;TA1.10,TA1.11,TA1.13,TA1.14,TA1.16,TA1.3,TA1.6,TA1.7,TA1.8,TA1.9,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17,TA4.3,TA4.37,TA4.43,TA4.51,TA4.56;Pesticides Reduction;2;The reduction of GHG emissions can reinforce the achievement of pesticides reduction targets by promoting more sustainable and environmentally-friendly agricultural practices, such as organic farming and agroecology, which can reduce the need for synthetic pesticides.;
419;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Food quality;1;The improvement of air quality can enable the achievement of food quality targets by reducing the risk of air-borne diseases and improving the overall health of the food system.;
420;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Food affordability;-1;The improvement of air quality may constrain the options for food affordability by increasing the costs of air pollution control and management, which could be passed on to consumers.;
